Вершины треугольника $ ABC $ есть точки $ A ( -6 ; 0 ) $, $ B ( 5 ; -5 ) $ и $ C ( 2 ; -3 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( 2 ; 3 ) $, $ D ( -2 ; 5 ) $ и $ E ( 9 ; -5 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 6 ; -6 ) $, $ B ( 5 ; 0 ) $ и $ C ( -8 ; 4 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ C ( -8 ; 4 ) $, $ D ( -9 ; -7 ) $ и $ E ( 9 ; 5 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 8 ; 0 ) $, $ B ( 1 ; -4 ) $ и $ C ( 6 ; -8 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ A ( 9 ; -9 ) $, $ B ( 5 ; -6 ) $ и $ C ( -8 ; 8 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Вершины треугольника $ ABC $ есть точки $ A ( 1 ; -9 ) $, $ B ( -8 ; 9 ) $ и $ C ( -4 ; 4 ) $. Составьте уравнение высоты $  AD  $.
Даны точки $ C ( 7 ; 9 ) $, $ D ( -4 ; 1 ) $ и $ E ( 3 ; 2 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ C ( -7 ; 1 ) $, $ D ( -4 ; 4 ) $ и $ E ( 9 ; -2 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Вершины треугольника $ ABC $ есть точки $ A ( -6 ; 6 ) $, $ B ( 7 ; 4 ) $ и $ C ( -9 ; -8 ) $. Составьте уравнение медианы $  CM  $.
Даны точки $ A ( -4 ; -5 ) $, $ B ( 3 ; -8 ) $ и $ C ( -2 ; 9 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -5 ; 3 ) $, $ D ( -4 ; -2 ) $ и $ E ( 7 ; 0 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ перпендикулярно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 5 ; 9 ) $, $ B ( -8 ; -6 ) $ и $ C ( -3 ; -2 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ A ( -9 ; 9 ) $, $ B ( 7 ; 6 ) $ и $ C ( 2 ; -1 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -1 ; 2 ) $, $ D ( 3 ; -9 ) $ и $ E ( -3 ; -5 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ параллельно вектору $ \overrightarrow{  CE  } $.
Даны точки $ C ( -6 ; -8 ) $, $ D ( -7 ; 2 ) $ и $ E ( -2 ; 1 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ C ( 2 ; -4 ) $, $ D ( 3 ; -7 ) $ и $ E ( 7 ; -1 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 2 ; -5 ) $, $ B ( -7 ; 6 ) $ и $ C ( -9 ; -4 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( 8 ; 9 ) $, $ D ( 5 ; 7 ) $ и $ E ( -3 ; -7 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ перпендикулярно вектору $ \overrightarrow{  CD  } $.
Даны точки $ A ( 3 ; -5 ) $, $ B ( 2 ; 5 ) $ и $ C ( -4 ; -6 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
Даны точки $ C ( 4 ; -4 ) $, $ D ( 5 ; -3 ) $ и $ E ( -7 ; -6 ) $. Точка $F$ делит отрезок $  CD  $ пополам. Напишите уравнение прямой $  EF  $.
Вершины треугольника $ ABC $ есть точки $ A ( 4 ; -6 ) $, $ B ( -5 ; 0 ) $ и $ C ( 1 ; 2 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ C ( 1 ; -9 ) $, $ D ( -3 ; 3 ) $ и $ E ( -6 ; 5 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 3 ; -9 ) $, $ B ( -5 ; -8 ) $ и $ C ( -7 ; -6 ) $. Составьте уравнение высоты $  CD  $.
