Вершины треугольника $ ABC $ есть точки $ A ( -1 ; -9 ) $, $ B ( -6 ; 7 ) $ и $ C ( -7 ; 1 ) $. Составьте уравнение медианы $  CM  $.
Вершины треугольника $ ABC $ есть точки $ A ( 7 ; 3 ) $, $ B ( -4 ; -9 ) $ и $ C ( 1 ; -5 ) $. Составьте уравнение медианы $  BM  $.
Даны точки $ C ( 7 ; 8 ) $, $ D ( 5 ; 0 ) $ и $ E ( -1 ; -2 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -2 ; -7 ) $, $ B ( -1 ; 1 ) $ и $ C ( 9 ; 7 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ A ( 1 ; -2 ) $, $ B ( 8 ; 6 ) $ и $ C ( -1 ; -7 ) $. Напишите уравнение стороны  AB  треугольника $ ABC $.
Вершины треугольника $ ABC $ есть точки $ A ( -7 ; 7 ) $, $ B ( -9 ; 8 ) $ и $ C ( -8 ; 0 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( -2 ; -4 ) $, $ D ( -5 ; 9 ) $ и $ E ( 3 ; -9 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ C ( 1 ; 6 ) $, $ D ( 9 ; 0 ) $ и $ E ( 4 ; 8 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Даны точки $ C ( -1 ; 6 ) $, $ D ( 9 ; 0 ) $ и $ E ( 5 ; -6 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -4 ; 6 ) $, $ B ( -1 ; 4 ) $ и $ C ( 9 ; 0 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ C ( 2 ; 5 ) $, $ D ( -6 ; 7 ) $ и $ E ( -1 ; -9 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ C ( -6 ; 6 ) $, $ D ( -1 ; 8 ) $ и $ E ( -8 ; 9 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ A ( -7 ; 5 ) $, $ B ( 1 ; -8 ) $ и $ C ( -1 ; 4 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Вершины треугольника $ ABC $ есть точки $ A ( -1 ; -2 ) $, $ B ( 8 ; 2 ) $ и $ C ( 4 ; -8 ) $. Составьте уравнение высоты $  AD  $.
Даны точки $ C ( 9 ; -2 ) $, $ D ( 3 ; -8 ) $ и $ E ( 1 ; 5 ) $. Точка $F$ делит отрезок $  CD  $ пополам. Напишите уравнение прямой $  EF  $.
Вершины треугольника $ ABC $ есть точки $ A ( -3 ; -6 ) $, $ B ( -7 ; -9 ) $ и $ C ( 0 ; 3 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ C ( -1 ; 2 ) $, $ D ( 4 ; -6 ) $ и $ E ( 6 ; -8 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ перпендикулярно вектору $ \overrightarrow{  CD  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -8 ; 1 ) $, $ B ( -6 ; 5 ) $ и $ C ( 2 ; 4 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( -7 ; 9 ) $, $ D ( -5 ; -8 ) $ и $ E ( 2 ; 1 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Даны точки $ C ( 1 ; 3 ) $, $ D ( 4 ; 8 ) $ и $ E ( 7 ; 5 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ параллельно вектору $ \overrightarrow{  CE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 0 ; -5 ) $, $ B ( 4 ; 1 ) $ и $ C ( -3 ; -9 ) $. Составьте уравнение медианы $  AM  $.
Даны точки $ A ( 6 ; 4 ) $, $ B ( 1 ; -3 ) $ и $ C ( 8 ; -9 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Вершины треугольника $ ABC $ есть точки $ A ( 9 ; -1 ) $, $ B ( 5 ; 8 ) $ и $ C ( -9 ; -4 ) $. Составьте уравнение медианы $  BM  $.
Даны точки $ C ( -4 ; -7 ) $, $ D ( -6 ; -3 ) $ и $ E ( -5 ; -2 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Вершины треугольника $ ABC $ есть точки $ A ( -5 ; 3 ) $, $ B ( -4 ; -7 ) $ и $ C ( 6 ; 2 ) $. Составьте уравнение высоты $  BD  $.
Даны точки $ C ( -4 ; 0 ) $, $ D ( -8 ; -1 ) $ и $ E ( 4 ; -5 ) $. Напишите уравнение прямой, проходящей через точку $  E  $ параллельно вектору $ \overrightarrow{  CD  } $.
Даны точки $ C ( -8 ; 1 ) $, $ D ( -7 ; -9 ) $ и $ E ( -4 ; 8 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ перпендикулярно вектору $ \overrightarrow{  CE  } $.
Даны точки $ A ( -4 ; 8 ) $, $ B ( -7 ; 1 ) $ и $ C ( 9 ; 0 ) $. Напишите уравнение стороны  AB  треугольника $ ABC $.
Даны точки $ C ( -8 ; -3 ) $, $ D ( 5 ; 7 ) $ и $ E ( -6 ; -2 ) $. Напишите уравнение прямой, проходящей через точку $  D  $ параллельно вектору $ \overrightarrow{  CE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 2 ; 6 ) $, $ B ( -5 ; 7 ) $ и $ C ( -6 ; 1 ) $. Составьте уравнение медианы $  BM  $.
Даны точки $ A ( 4 ; -6 ) $, $ B ( 3 ; -4 ) $ и $ C ( 9 ; 7 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -2 ; -3 ) $, $ D ( -5 ; 4 ) $ и $ E ( -4 ; 5 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 1 ; 0 ) $, $ B ( 9 ; 4 ) $ и $ C ( 3 ; -6 ) $. Составьте уравнение высоты $  AD  $.
Даны точки $ C ( 3 ; -2 ) $, $ D ( 6 ; 7 ) $ и $ E ( 8 ; 1 ) $. Точка $F$ делит отрезок $  CE  $ пополам. Напишите уравнение прямой $  DF  $.
Даны точки $ A ( -3 ; 4 ) $, $ B ( 2 ; -9 ) $ и $ C ( 5 ; -1 ) $. Напишите уравнение стороны  BC  треугольника $ ABC $.
Даны точки $ C ( -1 ; -3 ) $, $ D ( 5 ; 0 ) $ и $ E ( -7 ; -5 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ параллельно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( 0 ; 4 ) $, $ B ( 1 ; -2 ) $ и $ C ( 9 ; -7 ) $. Составьте уравнение высоты $  CD  $.
Вершины треугольника $ ABC $ есть точки $ A ( -9 ; 1 ) $, $ B ( -4 ; 8 ) $ и $ C ( 9 ; 7 ) $. Составьте уравнение медианы $  BM  $.
Даны точки $ C ( -3 ; -5 ) $, $ D ( 3 ; -4 ) $ и $ E ( -9 ; -8 ) $. Точка $F$ делит отрезок $  CD  $ пополам. Напишите уравнение прямой $  EF  $.
Даны точки $ C ( -2 ; 5 ) $, $ D ( -1 ; 1 ) $ и $ E ( 9 ; -7 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ A ( 7 ; -4 ) $, $ B ( 0 ; -7 ) $ и $ C ( -9 ; 2 ) $. Напишите уравнение стороны  AC  треугольника $ ABC $.
Даны точки $ C ( 8 ; 0 ) $, $ D ( 5 ; -8 ) $ и $ E ( -7 ; -4 ) $. Точка $F$ делит отрезок $  DE  $ пополам. Напишите уравнение прямой $  CF  $.
Вершины треугольника $ ABC $ есть точки $ A ( -9 ; -2 ) $, $ B ( -5 ; 7 ) $ и $ C ( -7 ; -8 ) $. Составьте уравнение высоты $  CD  $.
Даны точки $ C ( -5 ; -4 ) $, $ D ( 7 ; 0 ) $ и $ E ( -8 ; 3 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ перпендикулярно вектору $ \overrightarrow{  DE  } $.
Даны точки $ C ( 7 ; -4 ) $, $ D ( 3 ; -6 ) $ и $ E ( 9 ; -8 ) $. Напишите уравнение прямой, проходящей через точку $  C  $ параллельно вектору $ \overrightarrow{  DE  } $.
Вершины треугольника $ ABC $ есть точки $ A ( -1 ; -5 ) $, $ B ( -3 ; -8 ) $ и $ C ( 7 ; 2 ) $. Составьте уравнение медианы $  AM  $.
